Reference,Name,Price,URL
GM102578,"Real Fruit Juice - Orange, 200 ml Carton
Real Fruit Juice - Orange, 1 ltr Carton","Rs. 20.00
Rs. 82.00",http://www.bigbasket.com/pd/229910/real-fruit-juice-orange-1-ltr-carton/
GM102575,"Real Fruit Juice - Litchi, 1 ltr Carton
Real Fruit Juice - Litchi, 200 ml Carton","Rs. 82.00
Rs. 20.00",http://www.bigbasket.com/pd/229936/real-fruit-juice-litchi-1-ltr-carton/?nc=as
GM106033,"Red Bull Energy Drink, 250 ml Carton  ( Pack of 4 )",Rs. 389.50,http://www.bigbasket.com/pd/100012281/red-bull-energy-drink-250-ml-carton/
GM102524,"Limca  Soft Drink - Lemon Flavor, 600 ml Bottle
Limca  Soft Drink - Lemon Flavor, 2 ltr Bottle","Rs. 35.00
Rs. 85.00",http://www.bigbasket.com/pd/265906/limca-soft-drink-lemon-flavor-2-ltr-bottle/
GM102532,"Fanta Soft Drink - Orange Flavor, 1.25 ltr Bottle
Fanta Soft Drink - Orange Flavor, 2 ltr Bottle
Fanta Soft Drink - Orange Flavor, 600 ml Bottle","Rs. 60.00
Rs. 85.00
Rs. 35.00",http://www.bigbasket.com/pd/251041/fanta-soft-drink-orange-flavor-2-ltr-bottle/?nc=as
GM102577,"Real Fruit Juice - Mixed Fruit, 200 ml Carton
Real Fruit Juice - Mixed Fruit, 1 ltr Carton","Rs. 20.00
Rs. 82.00",http://www.bigbasket.com/pd/229922/real-fruit-juice-mixed-fruit-1-ltr-carton/?nc=as
GM102574,"Real Fruit Juice - Guava, 1 ltr Carton
Real Fruit Juice - Guava, 200 ml Carton","Rs. 82.00
Rs. 20.00",http://www.bigbasket.com/pd/229930/real-fruit-juice-guava-1-ltr-carton/?nc=as
GM102572,"Real Fruit Juice - Apple, 200 ml Carton
Real Fruit Juice - Apple, 1 ltr Carton","Rs. 20.00
Rs. 82.00",http://www.bigbasket.com/pd/265854/real-fruit-juice-apple-1-ltr-carton/?nc=as
GM102535,"Sprite Soft Drink, 2 ltr Bottle
Sprite Soft Drink, 600 ml Bottle","Rs. 85.00
Rs. 35.00",http://www.bigbasket.com/pd/251040/sprite-soft-drink-2-ltr-bottle/
GM101639,"Bournvita 5 Star Magic Pro-Health Chocolate Drink, 500 gm Pouch",Rs. 190.00,http://www.bigbasket.com/pd/206981/bournvita-5-star-magic-pro-health-chocolate-drink-500-gm-pouch/?nc=as
GM102416,"Pediasure Nutritional Powder - Premium Chocolate, 1 kg Jar
Pediasure Nutritional Powder - Premium Chocolate, 200 gm Jar
Pediasure Nutritional Powder - Premium Chocolate, 400 gm Jar","Rs. 1121.00
Rs. 280.25
Rs. 498.75",http://www.bigbasket.com/pd/275260/pediasure-nutritional-powder-premium-chocolate-1-kg-jar/
GM102108,"Nescafe  Coffee - Classic, 100 gm Jar
Nescafe  Coffee - Classic, 25 gm Jar","Rs. 237.50
Rs. 70.00",http://www.bigbasket.com/pd/231187/nescafe-coffee-classic-100-gm-jar/?nc=as
GM102530,"Coca Cola Soft Drink, 600 ml Bottle
Coca Cola Soft Drink, 1.25 ltr Bottle
Coca Cola Soft Drink, 2 ltr Bottle","Rs. 35.00
Rs. 60.00
Rs. 85.00",http://www.bigbasket.com/pd/251037/coca-cola-soft-drink-2-ltr-bottle/
GM102417,"Pediasure Nutritional Powder - Vanilla Delight, 1 kg Jar
Pediasure Nutritional Powder - Vanilla Delight, 200 gm Jar
Pediasure Nutritional Powder - Vanilla Delight, 400 gm Jar","Rs. 1092.50
Rs. 270.75
Rs. 489.25",http://www.bigbasket.com/pd/281374/pediasure-nutritional-powder-vanilla-delight-200-gm-jar/?nc=as
GM102519,"Tea City Utsav Tea : Buy 1 Get 1 Free, 1 kg",Rs. 398.00,http://www.bigbasket.com/pd/40030029/tea-city-utsav-tea-1-kg/
GM101464,"Parle Hide & Seek Chocolate, 120 gm Pouch
Parle Hide & Seek Chocolate, 33 gm Pouch","Rs. 28.50
Rs. 9.50",http://www.bigbasket.com/pd/302121/parle-hide-seek-chocolate-120-gm-pouch/?nc=as
GM102515,"Tata Tea Gold Tea, 250 gm Pouch
Tata Tea Gold Tea, 500 gm Pouch
Tata Tea Gold Tea, 100 gm Pouch
Tata Tea Gold Tea, 1 kg Pouch","Rs. 102.60
Rs. 205.20
Rs. 41.00
Rs. 382.20",http://www.bigbasket.com/pd/240065/tata-tea-gold-tea-1-kg-pouch/?nc=as
GM101507,"Sunfeast Dark Fantasy - Choco Fills, 75 gm Pouch",Rs. 27.00,http://www.bigbasket.com/pd/286082/sunfeast-dark-fantasy-choco-fills-75-gm-pouch/
GM101462,"Parle Hide & Seek - Bourbon, 75 gm Pouch
Parle Hide & Seek - Bourbon, 150 gm Pouch","Rs. 9.50
Rs. 23.75",http://www.bigbasket.com/pd/40005873/parle-hide-seek-bourbon-150-gm-pouch/
