Reference,Name,Price,URL
GM102575,Real Litchi Juice,₹99,https://grofers.com/prn/real-litchi-juice/prid/20144
GM106033,Red Bull Energy Drink (Can),₹410,https://grofers.com/prn/red-bull-can-energy-drink/prid/45655
GM102524,Limca Soft Drink (Bottle),₹85,https://grofers.com/prn/limca-soft-drink-bottle/prid/10559
GM102572,Real Apple Juice,₹99,https://grofers.com/prn/real-apple-juice/prid/350
GM102574,Real Guava Juice,₹99,https://grofers.com/prn/real-guava-juice/prid/352
GM102577,Real Mixed Fruit Juice,₹99,https://grofers.com/prn/real-mixed-fruit-juice/prid/353
GM102535,Sprite Soft Drink (Bottle),₹85,https://grofers.com/prn/sprite-soft-drink-bottle/prid/10562
GM102578,Real Orange Juice,₹99,https://grofers.com/prn/real-orange-juice/prid/354
GM102530,Coca-Cola Soft Drink (Bottle),₹85,https://grofers.com/prn/coca-cola-soft-drink-bottle/prid/10557
GM101639,Cadbury Bournvita 5 Star Magic Health Drink (Refill),₹200,https://grofers.com/prn/cadbury-bournvita-5-star-magic-refill-health-drink/prid/323
GM102108,Nescafe Classic Coffee (Jar),₹250,https://grofers.com/prn/nescafe-classic-coffee-jar/prid/243
GM102515,Tata Gold Tea (Pouch),₹216,https://grofers.com/prn/tata-gold-pouch-tea/prid/254
GM102511,Brooke Bond Red Label Zip lock Tea,₹350,https://grofers.com/prn/brooke-bond-red-label-zip-lock-tea/prid/104234
GM101340,Britannia Good Day Butter Cookie,₹20,https://grofers.com/prn/britannia-good-day-butter-cookie/prid/77072
GM101402,Dukes Waffy Chocolate Wafers Biscuit,₹40,https://grofers.com/prn/dukes-waffy-chocolate-wafers-biscuit/prid/11067
GM101464,Parle Hide & Seek Chocolate Chip Cookie,₹30,https://grofers.com/prn/parle-hide-seek-chocolate-chip-cookie/prid/11102
GM101403,Dukes Waffy Orange Wafers Biscuit,₹40,https://grofers.com/prn/dukes-waffy-orange-wafers-biscuit/prid/11068
GM101404,Dukes Waffy Strawberry Wafers Biscuit,₹40,https://grofers.com/prn/dukes-waffy-strawberry-wafers-biscuit/prid/11070
GM101462,Parle Hide & Seek Bourbon Biscuit,₹25,https://grofers.com/prn/parle-hide-seek-bourbon-biscuit/prid/60067
GM101507,Sunfeast Dark Fantasy Choco Fills Cookie,₹30,https://grofers.com/prn/sunfeast-dark-fantasy-choco-fills-cookie/prid/509
GM101432,McVitie's Digestive Biscuit,₹50,https://grofers.com/prn/mcvities-digestive-biscuit/prid/34647
GM108931,Dukes Waffy Vanilla Wafers Biscuit,₹40,https://grofers.com/prn/dukes-waffy-vanilla-wafers-biscuit/prid/32516
GM101445,Parle-G Glucose Biscuit,₹60,https://grofers.com/prn/parle-g-glucose-biscuit/prid/60749
GM101593,Kellogg's Chocos (Carton) - Cereal,₹155,https://grofers.com/prn/kelloggs-chocos-carton-cereal/prid/132
GM102503,Quaker - Oats,₹190,https://grofers.com/prn/quaker-oats/prid/37261
GM102090,Dabur Honey,₹199,https://grofers.com/prn/dabur-honey/prid/17680
GM102079,Kissan Mixed Fruit Jam,₹175,https://grofers.com/prn/kissan-mixed-fruit-jam/prid/18934
GM102480,Kissan Fresh Tomato Ketchup (Bottle),₹97,https://grofers.com/prn/kissan-fresh-tomato-ketchup/prid/15374
GM102420,Bikano Aloo Bhujia Namkeen,₹222,https://grofers.com/prn/bikano-aloo-bhujia-namkeen/prid/34329
GM102420,Bikano Aloo Bhujia Namkeen,₹222,https://grofers.com/prn/bikano-aloo-bhujia-namkeen/prid/34329
GM101839,Kurkure Masala Munch Crisps,₹20,https://grofers.com/prn/kurkure-masala-munch-crisps/prid/67372
GM101858,Lay's India's Magic Masala Chips,₹20,https://grofers.com/prn/lays-indias-magic-masala-chips/prid/11054
GM101849,Lay's American Style Cream & Onion Chips,₹20,https://grofers.com/prn/lays-american-style-cream-onion-chips/prid/578
